EpRewMean	EpLenMean	KLOldNew	Entropy	EVBefore	EVAfter	TimestepsSoFar
-1309.25	200.0	0.000263092	1.41993	0.0	0.330354705702	2600
-1258.09	200.0	0.000739758	1.4189	0.21150391289	0.244097760116	5200
-1348.61	200.0	0.000901438	1.41811	0.306169865269	0.327311122891	7800
-1274.41	200.0	0.00201972	1.41632	0.22111896502	0.236303067702	10400
-1212.11	200.0	0.000782274	1.41583	0.448912104396	0.465998192108	13000
-1121.01	200.0	0.00115793	1.4167	0.450893413909	0.463189428516	15600
-1208.66	200.0	0.000292704	1.4176	0.258278909069	0.28272226287	18200
-1203.81	200.0	0.000438734	1.42047	0.422620880127	0.493696795007	20800
-1175.63	200.0	0.000194778	1.42226	0.388906189465	0.415359735597	23400
-1294.9	200.0	0.000569272	1.42725	0.3838283702	0.393672101098	26000
-1105.51	200.0	0.0066042	1.43922	0.3657608782	0.398671166073	28600
-1333.67	200.0	0.000845061	1.44609	0.351065725343	0.362107124482	31200
-1349.97	200.0	0.00357371	1.45661	0.0792061473251	0.107824654956	33800
-1272.21	200.0	0.010498	1.46791	0.176521232093	0.178549196297	36400
-1137.51	200.0	0.00415272	1.47571	0.320373010722	0.393395390482	39000
-1161.54	200.0	0.00127319	1.47894	0.387854519299	0.404369194804	41600
-1135.15	200.0	0.000557723	1.48151	0.383303890347	0.41613088786	44200
-1120.71	200.0	0.00397956	1.48524	0.365698396013	0.409584021696	46800
-1034.76	200.0	0.0085882	1.48833	0.279863259458	0.301169883636	49400
-1201.42	200.0	0.00180279	1.49016	0.38701997781	0.427213557849	52000
-1204.04	200.0	0.00130663	1.49272	0.308028098611	0.319662242128	54600
-1460.45	200.0	0.000770308	1.49524	0.287507843597	0.296866363199	57200
-1299.61	200.0	0.00344542	1.49908	0.230982309087	0.249008700199	59800
-1134.86	200.0	0.00441235	1.5036	0.195324134011	0.234982387891	62400
-1274.26	200.0	0.00357051	1.5078	0.182946493006	0.194162916337	65000
-1305.02	200.0	0.00352994	1.51118	0.296408367978	0.320265467763	67600
-1248.28	200.0	0.00964061	1.51416	-0.102776310827	0.144231266491	70200
-1252.15	200.0	0.000593408	1.51708	0.101464037002	0.121610476351	72800
-1260.67	200.0	0.00131661	1.51838	0.159153149021	0.165777627412	75400
-1304.97	200.0	0.00414464	1.52089	0.105459010637	0.122543879423	78000
-1328.62	200.0	0.00109739	1.52246	0.143432254068	0.153255043169	80600
-1263.0	200.0	0.000170691	1.52478	0.12208967039	0.152521752943	83200
-1271.36	200.0	0.000748988	1.52736	0.205159328145	0.209879891588	85800
-1271.87	200.0	0.00291627	1.53365	0.160033385718	0.166349996733	88400
-1226.07	200.0	0.00399823	1.54236	0.115980702584	0.129853938942	91000
-1216.28	200.0	0.00110076	1.55125	0.212616484598	0.230623407622	93600
-1173.17	200.0	0.00864552	1.56042	0.285776467279	0.291649673249	96200
-1167.79	200.0	0.00206018	1.5672	0.420304072905	0.523405641302	98800
-1104.56	200.0	0.0023575	1.5738	0.33797405779	0.355643561058	101400
-1081.21	200.0	0.0013221	1.5783	0.428907237143	0.443780251343	104000
-971.606	200.0	0.00062268	1.58295	0.284360124104	0.329554146182	106600
-1177.14	200.0	0.00149736	1.58681	0.45462679723	0.489917510445	109200
-1076.37	200.0	0.00210741	1.58943	0.359757276972	0.415350626955	111800
-1075.74	200.0	0.000416428	1.5927	0.424836861457	0.436207287527	114400
-1022.29	200.0	0.000741221	1.59777	0.393904155281	0.416007798791	117000
-1141.03	200.0	0.00156568	1.61024	0.42881659337	0.43909718155	119600
-1157.24	200.0	0.0148073	1.6136	0.445528251043	0.459286988492	122200
-1122.38	200.0	0.00264947	1.62166	0.384621421136	0.433585328151	124800
-1065.82	200.0	0.00311881	1.62915	0.234173642777	0.271410999932	127400
-1024.28	200.0	0.00185912	1.63836	0.431501980048	0.493550929216	130000
-1222.8	200.0	0.000394271	1.64583	0.58593848373	0.613439904311	132600
-1009.57	200.0	0.00205702	1.65556	0.374464468438	0.407478103577	135200
-1056.33	200.0	0.0222251	1.65715	0.40794429123	0.417290447116	137800
-1095.94	200.0	0.00138711	1.66046	0.296841949012	0.336850804001	140400
-1092.68	200.0	0.00592356	1.66744	0.312969267083	0.323085642462	143000
-1009.32	200.0	0.00127646	1.66974	0.443252025407	0.46378133963	145600
-1098.73	200.0	0.00271918	1.67249	0.65252069223	0.65790948071	148200
-1066.41	200.0	0.00458044	1.67432	0.651561510477	0.669877138607	150800
-999.175	200.0	0.00173414	1.67591	0.223654037921	0.290373431772	153400
-1047.84	200.0	0.00183264	1.6764	0.270363282584	0.280453646096	156000
-1070.84	200.0	0.00538127	1.67761	0.356939433993	0.37437522547	158600
-930.069	200.0	0.00329301	1.67773	0.354567348032	0.373128054466	161200
-945.034	200.0	0.00491394	1.67846	0.336156284452	0.359881086455	163800
-985.571	200.0	0.000750522	1.67823	0.474688886364	0.554947546121	166400
-1017.09	200.0	0.000480771	1.67836	0.426160484925	0.445948506333	169000
-1010.95	200.0	0.00402388	1.68019	0.589135071644	0.599154473836	171600
-1014.3	200.0	0.00121209	1.68126	0.509387565153	0.544441396967	174200
