EpRewMean	EpLenMean	KLOldNew	Entropy	EVBefore	EVAfter	TimestepsSoFar
-1240.6	200.0	1.87848e-05	1.41993	0.000202691501845	-0.0404577759367	2600
-1282.88	200.0	0.000357381	1.42006	-0.047673503795	-1.17377778279	5200
-1274.22	200.0	0.00077922	1.42004	-1.13045170288	-2.91645233126	7800
-1232.51	200.0	0.00120477	1.41919	-3.23974509877	-0.852536694886	10400
-1197.36	200.0	0.000787362	1.41905	-0.774098741182	-0.405570480069	13000
-1056.53	200.0	0.0014479	1.41742	-0.811227400214	0.256218713844	15600
-1233.85	200.0	0.000357077	1.41615	0.364269012629	0.422794020929	18200
-1114.26	200.0	0.00216138	1.41381	0.250739854777	0.288707515622	20800
-1191.28	200.0	0.00534344	1.4109	0.2239642928	0.329083212407	23400
-1338.96	200.0	0.00349194	1.40874	0.24155966217	0.244356083835	26000
-1300.27	200.0	0.00186912	1.40734	0.179562894827	0.22001225174	28600
-1222.51	200.0	0.000992521	1.40626	0.154600005699	0.192199156758	31200
-1265.18	200.0	0.000300539	1.40375	0.0947819725491	0.128966961146	33800
-1207.27	200.0	0.00820791	1.40083	0.251989880905	0.25100860343	36400
-1258.37	200.0	0.00751731	1.39886	0.162186990751	0.171486147105	39000
-1233.07	200.0	0.000345779	1.39813	0.266144049879	0.299352402858	41600
-1324.74	200.0	0.00175537	1.39549	0.317019638107	0.373739760514	44200
-1239.81	200.0	0.00579076	1.39435	0.10031856239	0.142867092819	46800
-1291.14	200.0	0.00580532	1.39392	0.118938022596	0.13671569408	49400
-1239.42	200.0	0.00189608	1.39374	0.284077727587	0.283373720682	52000
-1312.45	200.0	0.000625716	1.39387	0.400839506421	0.463658393636	54600
-1180.34	200.0	0.00323891	1.39384	0.232424750226	0.273153548364	57200
-1261.41	200.0	0.00230935	1.39393	0.331287638285	0.374874131911	59800
-1310.16	200.0	0.00171486	1.39525	0.438246919166	0.457146295792	62400
-1104.36	200.0	0.00253192	1.39593	0.371339559003	0.375642929819	65000
-1228.19	200.0	0.00128656	1.39606	0.475187099984	0.478270903506	67600
-1217.72	200.0	0.000708385	1.39722	0.375045894551	0.380900652284	70200
-1210.93	200.0	0.00153311	1.39764	0.415913980071	0.431860979043	72800
-1290.51	200.0	0.000794561	1.39728	0.353492475503	0.366824052361	75400
-1170.09	200.0	0.00308626	1.39595	0.479899953512	0.48793835789	78000
-1243.58	200.0	0.00535708	1.39485	0.405382158863	0.419891849332	80600
-1202.04	200.0	0.00341046	1.39441	0.462694197627	0.469043009604	83200
-1271.58	200.0	0.00366108	1.39521	0.251277973732	0.269391219123	85800
-1280.98	200.0	0.00305587	1.39619	0.244728728081	0.297609467841	88400
-1340.15	200.0	0.000425681	1.39775	0.290586697567	0.309047300955	91000
-1287.05	200.0	0.0134486	1.40149	0.188853024639	0.210894687438	93600
-1286.86	200.0	0.00143366	1.40444	0.418471754642	0.455023865515	96200
-1080.07	200.0	0.00265365	1.40826	0.330372339845	0.415082586242	98800
-1095.05	200.0	0.00105036	1.41295	0.500794503362	0.530396762433	101400
-1092.24	200.0	0.000794768	1.41816	0.501369496596	0.527422808625	104000
-1195.3	200.0	0.0022706	1.42548	0.489947168612	0.490591755072	106600
-1114.87	200.0	0.00104237	1.43274	0.419408766318	0.447006378727	109200
-1176.71	200.0	0.000533795	1.43787	0.478417289162	0.484462683508	111800
-1125.79	200.0	0.00296432	1.44688	0.366284663311	0.376631905975	114400
-1091.46	200.0	0.00268676	1.45561	0.472817581046	0.483615688261	117000
-1117.09	200.0	0.00221145	1.46028	0.466731793493	0.476622159677	119600
-1234.44	200.0	0.000283671	1.46291	0.442423706294	0.444200742473	122200
-1234.47	200.0	0.00382893	1.46666	0.526316707936	0.534362683996	124800
-1211.38	200.0	0.00230868	1.47252	0.494490688146	0.501243793547	127400
-1092.22	200.0	0.000436126	1.47382	0.433405940175	0.453406684851	130000
-1109.85	200.0	0.00085994	1.47845	0.529270521145	0.530449938979	132600
-1169.98	200.0	0.00879937	1.48242	0.522932953187	0.528335499903	135200
-1144.91	200.0	0.0181136	1.48274	0.506354480177	0.52392975792	137800
-1112.73	200.0	0.0115218	1.48481	0.568999487027	0.582001310161	140400
-1133.12	200.0	0.0384078	1.48454	0.132924392946	0.312945222637	143000
-1108.28	200.0	0.00832822	1.48328	0.484208941587	0.505597378662	145600
-1208.06	200.0	0.00227148	1.48256	0.428478323129	0.440059376466	148200
-1206.98	200.0	0.000680565	1.47951	0.151512141019	0.184585984277	150800
-1206.03	200.0	0.00106084	1.47633	0.123321758427	0.13193648594	153400
-1295.38	200.0	0.000856636	1.47528	0.254349094752	0.261386325478	156000
-1294.7	200.0	0.00121346	1.47626	0.31127201136	0.324107117968	158600
-1238.37	200.0	0.00100184	1.47339	0.19451518775	0.203384451894	161200
-1306.22	200.0	0.00227625	1.46899	0.358224324765	0.369314606485	163800
-1108.22	200.0	0.0157085	1.46431	0.248204127688	0.268003519949	166400
-1003.55	200.0	0.00350966	1.46272	0.369578348381	0.375659473045	169000
-1038.24	200.0	0.00645895	1.46307	0.489087480603	0.524630212764	171600
-953.027	200.0	0.00312675	1.46352	0.398221192605	0.448533736701	174200
-1053.16	200.0	0.00154341	1.46373	0.343177402041	0.407226020304	176800
-997.352	200.0	0.00222846	1.46398	0.269955494691	0.316613269312	179400
-1015.46	200.0	0.00140162	1.46388	0.255104434239	0.311370332349	182000
-1108.05	200.0	0.00167562	1.46356	0.430535363341	0.447349683621	184600
-1014.18	200.0	0.010813	1.46362	0.274363072761	0.285140959736	187200
-892.04	200.0	0.00435806	1.46417	0.452496939835	0.465449548273	189800
-1013.07	200.0	0.00172761	1.46398	0.628385983369	0.681887096171	192400
-927.073	200.0	0.00140107	1.46338	0.502942166737	0.516250986186	195000
-1057.27	200.0	0.00042402	1.46306	0.59875252244	0.601830422404	197600
-980.693	200.0	0.000230561	1.46324	0.549530325087	0.558313594881	200200
-1127.71	200.0	0.00105917	1.46431	0.625881925576	0.632547031987	202800
-970.778	200.0	0.00187904	1.4646	0.549248750917	0.555397967196	205400
-920.097	200.0	0.00578499	1.46533	0.596985376199	0.60779885801	208000
-967.149	200.0	0.00471253	1.46443	0.641477709285	0.653100340102	210600
-920.34	200.0	0.00340754	1.46351	0.60802751056	0.613474941622	213200
-886.336	200.0	0.00344439	1.46277	0.321554369354	0.35110915777	215800
-1043.54	200.0	0.000854976	1.46211	0.248358576054	0.334935475861	218400
-961.357	200.0	0.00362686	1.46111	0.32431574722	0.340979676294	221000
-901.058	200.0	0.00575754	1.46021	0.534881113985	0.582280742778	223600
-907.408	200.0	0.00367494	1.45955	0.515500573791	0.551270144626	226200
-861.154	200.0	0.00316649	1.45857	0.591714628271	0.610048477497	228800
-932.122	200.0	0.00153167	1.45789	0.683980045934	0.695737589523	231400
-889.662	200.0	0.000818715	1.45703	0.697711450029	0.705372053582	234000
-931.73	200.0	0.00129291	1.45508	0.667051521202	0.678632241208	236600
-910.846	200.0	0.00198057	1.45239	0.713332030954	0.721181995574	239200
